"StateId","Name","Ab"
"1","Armed Forces - Americas","AA"
"2","Armed Forces - Europe","AE"
"3","Armed Forces - Africa","AF"
"4","Alaska","AK"
"5","Alabama","AL"
"6","Armed Forces - Pacific","AP"
"7","Arkansas","AR"
"8","American Samoa","AS"
"9","Arizona","AZ"
"10","California","CA"
"11","Colorado","CO"
"12","Connecticut","CT"
"13","District of Columbia","DC"
"14","Delaware","DE"
"15","Florida","FL"
"16","Federated States of Micronesia","FM"
"17","Georgia","GA"
"18","Hawaii","HI"
"19","Iowa","IA"
"20","Idaho","ID"
"21","Illinois","IL"
"22","Indiana","IN"
"23","Kansas","KS"
"24","Kentucky","KY"
"25","Louisiana","LA"
"26","Massachusetts","MA"
"27","Maryland","MD"
"28","Maine","ME"
"29","Marshall Islands","MH"
"30","Michigan","MI"
"31","Minnesota","MN"
"32","Missouri","MO"
"33","Northern Mariana Islands","MP"
"34","Mississippi","MS"
"35","Montana","MT"
"36","North Carolina","NC"
"37","North Dakota","ND"
"38","Nebraska","NE"
"39","New Hampshire","NH"
"40","New Jersey","NJ"
"41","New Mexico","NM"
"42","Nevada","NV"
"43","New York","NY"
"44","Ohio","OH"
"45","Oklahoma","OK"
"46","Oregon","OR"
"47","Pennsylvania","PA"
"48","Puerto Rico","PR"
"49","Palau","PW"
"50","Rhode Island","RI"
"51","South Carolina","SC"
"52","South Dakota","SD"
"53","Tennessee","TN"
"54","Texas","TX"
"55","Utah","UT"
"56","Virginia","VA"
"57","Virgin Islands","VI"
"58","Vermont","VT"
"59","Washington","WA"
"60","Wisconsin","WI"
"61","West Virginia","WV"
"62","Wyoming","WY"
